Success (153):
datatype 3104 {urn:com:appian:types:PMX}testCDT "{urn:com:appian:types:PMX}testCDT"
application 4216 _a-0000dc68-7207-8000-daab-640000640000_5277 "PMX App"
tempoFeed 10 b6298b1e-c81b-4929-a6fb-964c437c1d94 "PMX_testingNewsFeed"
tempoFeed 9 49569975-7096-4bc9-abd1-54e436d9c664 "TestFeed"
recordType 2 3d2af5ee-8e9b-405e-96ab-c61484acbd05 "Course Listing"
recordType 1 SYSTEM_RECORD_TYPE_USER "User"

Referenced precedents that were not exported (8):
user jane.hill.s jane.hill.s
user diana.chavez.s diana.chavez.s
user carlos.aguayo.s carlos.aguayo.s
user matt.flanagan.s matt.flanagan.s
user jed.fonner.s jed.fonner.s
user david.montemayor david.montemayor
user david.alberto david.alberto
user imelda.garcia imelda.garcia

Trace:
2016-07-27 15:22:37.274 DEBUG application 4216 _a-0000dc68-7207-8000-daab-640000640000_5277 Begin transport.
2016-07-27 15:22:37.274 DEBUG application 4216 _a-0000dc68-7207-8000-daab-640000640000_5277 Retrieving object data.
